Booking_ID,Tanggal_Booking,Tanggal_CheckIn,Tanggal_CheckOut,Lama_Menginap,Room_ID,Tipe_Kamar,Harga_per_Malam,Status_Reservasi,Kanal_Distribusi
B0064,2025-06-24,2025-09-02,2025-09-07,5,ST060,Standard,300000,Cancel,OTA (Agoda)
B0065,2025-01-27,2025-04-05,2025-04-08,3,ST055,Standard,300000,Check-in,Direct Booking
B0066,2025-02-28,2025-05-24,2025-05-27,3,SU010,Suite,1000000,Check-in,OTA (Agoda)
B0067,2025-04-09,2025-06-19,2025-06-24,5,DE040,Deluxe,500000,Check-in,Direct Booking
B0068,2025-05-31,2025-07-14,2025-07-18,4,ST069,Standard,300000,Check-in,Direct Booking
B0069,2025-06-05,2025-08-07,2025-08-11,4,SU030,Suite,1000000,Check-in,OTA (Booking.com)
B0070,2025-03-18,2025-04-23,2025-04-28,5,SU006,Suite,1000000,Check-in,Direct Booking
B0071,2025-05-19,2025-06-22,2025-06-23,1,ST048,Standard,300000,Check-in,OTA (Agoda)
B0072,2025-01-23,2025-04-05,2025-04-06,1,SU024,Suite,1000000,Check-in,OTA (Agoda)
B0073,2025-03-30,2025-04-19,2025-04-20,1,DE092,Deluxe,500000,Check-in,Direct Booking
B0074,2025-04-05,2025-04-22,2025-04-24,2,DE007,Deluxe,500000,Check-in,Corporate
B0075,2025-09-25,2025-10-01,2025-10-03,2,SU009,Suite,1000000,Check-in,OTA (Booking.com)
B0076,2025-09-10,2025-10-26,2025-10-29,3,ST019,Standard,300000,Check-in,Corporate
B0077,2025-05-23,2025-06-23,2025-06-27,4,SU006,Suite,1000000,Check-in,Direct Booking
B0078,2025-09-15,2025-10-28,2025-11-01,4,ST089,Standard,300000,Check-in,OTA (Agoda)
B0079,2025-05-17,2025-06-21,2025-06-25,4,ST027,Standard,300000,Check-in,OTA (Agoda)
B0080,2025-05-23,2025-07-23,2025-07-27,4,SU026,Suite,1000000,Check-in,OTA (Booking.com)
B0081,2025-06-16,2025-07-26,2025-07-27,1,SU019,Suite,1000000,Check-in,Direct Booking
B0082,2025-07-09,2025-08-21,2025-08-26,5,SU003,Suite,1000000,Cancel,Direct Booking
B0083,2025-09-25,2025-12-17,2025-12-19,2,DE053,Deluxe,500000,Check-in,OTA (Agoda)
B0084,2025-03-03,2025-04-15,2025-04-18,3,SU025,Suite,1000000,Check-in,Direct Booking
B0085,2025-05-31,2025-08-14,2025-08-19,5,SU025,Suite,1000000,Check-in,OTA (Booking.com)
B0086,2025-09-30,2025-11-10,2025-11-14,4,ST013,Standard,300000,Cancel,Direct Booking
B0087,2025-04-24,2025-07-07,2025-07-11,4,DE096,Deluxe,500000,Check-in,OTA (Booking.com)
B0088,2025-05-04,2025-07-10,2025-07-13,3,DE030,Deluxe,500000,Check-in,Corporate
B0089,2025-07-27,2025-09-08,2025-09-12,4,ST076,Standard,300000,Check-in,OTA (Agoda)
B0090,2025-11-07,2025-12-16,2025-12-17,1,DE071,Deluxe,500000,Check-in,OTA (Booking.com)
B0091,2025-06-01,2025-08-30,2025-09-04,5,ST013,Standard,300000,Check-in,OTA (Booking.com)
B0092,2025-05-11,2025-06-29,2025-07-04,5,ST049,Standard,300000,Check-in,OTA (Booking.com)
B0093,2025-09-02,2025-09-03,2025-09-07,4,DE099,Deluxe,500000,Check-in,OTA (Agoda)
B0094,2025-06-26,2025-09-12,2025-09-16,4,DE048,Deluxe,500000,Check-in,OTA (Booking.com)
B0095,2025-09-24,2025-11-29,2025-12-03,4,ST031,Standard,300000,Check-in,Direct Booking
B0096,2025-07-15,2025-09-19,2025-09-23,4,SU011,Suite,1000000,Check-in,OTA (Agoda)
B0097,2025-06-11,2025-09-06,2025-09-08,2,SU022,Suite,1000000,Check-in,Direct Booking
B0098,2025-07-29,2025-08-04,2025-08-05,1,DE098,Deluxe,500000,Check-in,OTA (Agoda)
B0099,2025-09-01,2025-10-30,2025-11-02,3,ST017,Standard,300000,Check-in,OTA (Agoda)
B0100,2025-10-21,2025-12-10,2025-12-13,3,DE060,Deluxe,500000,Check-in,OTA (Booking.com)
B0101,2025-05-24,2025-05-25,2025-05-29,4,DE102,Deluxe,500000,Check-in,OTA (Agoda)
B0102,2025-09-23,2025-12-22,2025-12-27,5,DE037,Deluxe,500000,Check-in,Direct Booking
B0103,2025-11-04,2025-11-20,2025-11-25,5,SU017,Suite,1000000,Check-in,OTA (Booking.com)
B0104,2025-06-30,2025-09-10,2025-09-12,2,DE083,Deluxe,500000,Check-in,OTA (Agoda)
B0105,2025-09-01,2025-11-05,2025-11-06,1,ST068,Standard,300000,Check-in,Direct Booking
B0106,2025-09-17,2025-11-17,2025-11-18,1,DE032,Deluxe,500000,Check-in,OTA (Agoda)
B0107,2025-11-17,2025-12-23,2025-12-27,4,DE047,Deluxe,500000,Check-in,Direct Booking
B0108,2025-08-15,2025-08-25,2025-08-30,5,SU020,Suite,1000000,Check-in,OTA (Booking.com)
B0109,2025-03-03,2025-05-12,2025-05-13,1,SU001,Suite,1000000,Check-in,OTA (Booking.com)
B0110,2025-06-29,2025-07-19,2025-07-22,3,SU022,Suite,1000000,Check-in,OTA (Booking.com)
B0111,2025-08-31,2025-10-30,2025-11-02,3,SU025,Suite,1000000,Check-in,OTA (Booking.com)
B0112,2025-01-26,2025-04-11,2025-04-16,5,ST082,Standard,300000,Check-in,Direct Booking
B0113,2025-07-16,2025-08-31,2025-09-05,5,DE117,Deluxe,500000,Check-in,Corporate
B0114,2025-05-29,2025-07-22,2025-07-26,4,DE097,Deluxe,500000,Check-in,OTA (Booking.com)
B0115,2025-10-13,2025-10-17,2025-10-19,2,DE064,Deluxe,500000,Check-in,OTA (Agoda)
B0116,2025-11-04,2025-11-26,2025-11-29,3,SU030,Suite,1000000,Cancel,OTA (Booking.com)
B0117,2025-02-22,2025-04-14,2025-04-19,5,SU024,Suite,1000000,Check-in,Direct Booking
B0118,2025-05-04,2025-07-03,2025-07-08,5,SU018,Suite,1000000,Check-in,OTA (Booking.com)
B0119,2025-07-18,2025-09-15,2025-09-18,3,DE108,Deluxe,500000,Check-in,OTA (Booking.com)
B0120,2025-06-15,2025-08-08,2025-08-12,4,SU018,Suite,1000000,Check-in,OTA (Agoda)
B0121,2025-09-20,2025-09-27,2025-09-28,1,SU018,Suite,1000000,Check-in,OTA (Agoda)
B0122,2025-01-27,2025-04-21,2025-04-25,4,SU022,Suite,1000000,Cancel,Direct Booking
B0123,2025-06-15,2025-06-18,2025-06-21,3,SU010,Suite,1000000,Check-in,OTA (Booking.com)
B0124,2025-05-09,2025-07-21,2025-07-25,4,DE107,Deluxe,500000,Check-in,OTA (Agoda)
B0125,2025-05-07,2025-05-29,2025-05-30,1,SU009,Suite,1000000,Cancel,Direct Booking
B0126,2025-09-03,2025-09-07,2025-09-12,5,ST061,Standard,300000,Check-in,Corporate
B0127,2025-05-21,2025-07-11,2025-07-12,1,SU001,Suite,1000000,Check-in,OTA (Agoda)
B0128,2025-04-21,2025-05-23,2025-05-28,5,ST035,Standard,300000,Check-in,OTA (Agoda)
B0129,2025-03-16,2025-06-01,2025-06-03,2,ST083,Standard,300000,Check-in,OTA (Booking.com)
B0130,2025-08-13,2025-10-07,2025-10-10,3,SU017,Suite,1000000,Check-in,OTA (Booking.com)
B0131,2025-10-14,2025-12-07,2025-12-09,2,SU009,Suite,1000000,Check-in,OTA (Booking.com)
B0132,2025-04-20,2025-06-18,2025-06-23,5,DE067,Deluxe,500000,Check-in,OTA (Booking.com)
B0133,2025-05-25,2025-08-17,2025-08-21,4,ST007,Standard,300000,Check-in,OTA (Booking.com)
B0134,2025-09-24,2025-11-25,2025-11-29,4,DE092,Deluxe,500000,Check-in,OTA (Booking.com)
B0135,2025-06-23,2025-08-04,2025-08-07,3,SU015,Suite,1000000,Check-in,OTA (Booking.com)
B0136,2025-08-13,2025-10-12,2025-10-16,4,DE105,Deluxe,500000,Check-in,OTA (Agoda)
B0137,2025-11-12,2025-12-06,2025-12-11,5,SU028,Suite,1000000,Check-in,Direct Booking
B0138,2025-07-15,2025-08-20,2025-08-24,4,ST032,Standard,300000,Check-in,Corporate
B0139,2025-07-22,2025-08-02,2025-08-06,4,ST035,Standard,300000,Check-in,OTA (Booking.com)
B0140,2025-10-30,2025-11-30,2025-12-04,4,ST077,Standard,300000,Check-in,OTA (Booking.com)
B0141,2025-05-15,2025-05-18,2025-05-22,4,DE108,Deluxe,500000,Check-in,OTA (Booking.com)
B0142,2025-08-27,2025-10-06,2025-10-08,2,DE010,Deluxe,500000,Check-in,OTA (Booking.com)
B0143,2025-07-08,2025-09-17,2025-09-21,4,DE087,Deluxe,500000,Check-in,Direct Booking
B0144,2025-06-25,2025-07-28,2025-07-30,2,SU022,Suite,1000000,Check-in,OTA (Booking.com)
B0145,2025-04-26,2025-07-04,2025-07-07,3,SU003,Suite,1000000,Check-in,OTA (Booking.com)
B0146,2025-10-10,2025-12-25,2025-12-28,3,ST063,Standard,300000,Check-in,Direct Booking
B0147,2025-08-05,2025-08-30,2025-09-01,2,SU024,Suite,1000000,Check-in,OTA (Booking.com)
B0148,2025-03-27,2025-06-04,2025-06-06,2,DE051,Deluxe,500000,Check-in,Direct Booking
B0149,2025-04-27,2025-06-04,2025-06-06,2,ST070,Standard,300000,Check-in,OTA (Booking.com)
B0150,2025-08-22,2025-08-24,2025-08-25,1,DE100,Deluxe,500000,Check-in,OTA (Booking.com)
B0151,2025-08-01,2025-08-08,2025-08-09,1,DE058,Deluxe,500000,Check-in,Direct Booking
B0152,2025-03-06,2025-05-08,2025-05-11,3,ST042,Standard,300000,Check-in,Direct Booking
B0153,2025-08-14,2025-09-03,2025-09-06,3,SU005,Suite,1000000,Cancel,Direct Booking
B0154,2025-06-01,2025-07-25,2025-07-26,1,ST050,Standard,300000,Check-in,Corporate
B0155,2025-09-28,2025-11-06,2025-11-09,3,DE105,Deluxe,500000,Check-in,Direct Booking
B0156,2025-07-03,2025-07-16,2025-07-17,1,ST039,Standard,300000,Check-in,OTA (Booking.com)
B0157,2025-07-11,2025-08-01,2025-08-06,5,SU015,Suite,1000000,Check-in,Direct Booking
B0158,2025-09-25,2025-11-17,2025-11-21,4,ST071,Standard,300000,Check-in,Direct Booking
B0159,2025-07-27,2025-08-26,2025-08-30,4,ST035,Standard,300000,Check-in,OTA (Agoda)
B0160,2025-07-19,2025-07-29,2025-07-31,2,DE002,Deluxe,500000,Check-in,OTA (Booking.com)
B0161,2025-04-17,2025-07-11,2025-07-12,1,DE114,Deluxe,500000,Check-in,Direct Booking
B0162,2025-07-26,2025-08-15,2025-08-17,2,SU017,Suite,1000000,Check-in,Direct Booking
B0163,2025-07-17,2025-08-26,2025-08-30,4,DE074,Deluxe,500000,Check-in,OTA (Booking.com)
B0164,2025-07-26,2025-10-24,2025-10-27,3,DE074,Deluxe,500000,Check-in,OTA (Booking.com)
B0165,2025-04-10,2025-04-21,2025-04-23,2,DE042,Deluxe,500000,Check-in,OTA (Booking.com)
B0166,2025-05-13,2025-05-17,2025-05-21,4,SU028,Suite,1000000,Cancel,OTA (Agoda)
B0167,2025-01-27,2025-04-11,2025-04-13,2,ST058,Standard,300000,Check-in,OTA (Booking.com)
B0168,2025-11-04,2025-11-27,2025-11-28,1,ST089,Standard,300000,Check-in,Corporate
B0169,2025-10-17,2025-11-10,2025-11-14,4,ST066,Standard,300000,Check-in,Corporate
B0170,2025-07-27,2025-09-26,2025-10-01,5,DE075,Deluxe,500000,Check-in,OTA (Booking.com)
B0171,2025-08-26,2025-09-16,2025-09-18,2,DE097,Deluxe,500000,Check-in,Direct Booking
B0172,2025-02-26,2025-04-19,2025-04-22,3,DE025,Deluxe,500000,Check-in,Direct Booking
B0173,2025-10-09,2025-10-24,2025-10-25,1,ST022,Standard,300000,Check-in,Direct Booking
B0174,2025-09-14,2025-11-23,2025-11-28,5,DE006,Deluxe,500000,Check-in,OTA (Booking.com)
B0175,2025-09-23,2025-12-12,2025-12-16,4,ST088,Standard,300000,Check-in,Direct Booking
B0176,2025-05-03,2025-06-07,2025-06-11,4,DE094,Deluxe,500000,Check-in,OTA (Booking.com)
B0177,2025-03-30,2025-04-15,2025-04-16,1,ST023,Standard,300000,Check-in,Direct Booking
B0178,2025-08-17,2025-09-07,2025-09-12,5,ST062,Standard,300000,Check-in,OTA (Booking.com)
B0179,2025-04-30,2025-05-29,2025-06-03,5,DE092,Deluxe,500000,Cancel,OTA (Booking.com)
B0180,2025-11-22,2025-12-12,2025-12-15,3,ST023,Standard,300000,Check-in,OTA (Agoda)
B0181,2025-10-11,2025-12-04,2025-12-07,3,DE070,Deluxe,500000,Check-in,OTA (Booking.com)
B0182,2025-05-18,2025-07-07,2025-07-10,3,ST005,Standard,300000,Check-in,OTA (Agoda)
B0183,2025-08-11,2025-08-20,2025-08-24,4,DE094,Deluxe,500000,Check-in,OTA (Agoda)
B0184,2025-02-26,2025-04-02,2025-04-06,4,DE110,Deluxe,500000,Check-in,OTA (Agoda)
B0185,2025-09-23,2025-12-07,2025-12-12,5,SU005,Suite,1000000,Check-in,OTA (Booking.com)
B0186,2025-08-29,2025-10-11,2025-10-13,2,DE118,Deluxe,500000,Cancel,OTA (Agoda)
B0187,2025-05-03,2025-08-01,2025-08-06,5,ST032,Standard,300000,Check-in,OTA (Agoda)
B0188,2025-03-01,2025-04-23,2025-04-27,4,DE093,Deluxe,500000,Check-in,OTA (Agoda)
B0189,2025-08-27,2025-10-15,2025-10-18,3,ST037,Standard,300000,Check-in,OTA (Booking.com)
B0190,2025-11-20,2025-12-10,2025-12-14,4,SU004,Suite,1000000,Check-in,Corporate
B0191,2025-04-09,2025-05-22,2025-05-27,5,DE086,Deluxe,500000,Check-in,Corporate
B0192,2025-06-11,2025-06-13,2025-06-16,3,DE112,Deluxe,500000,Check-in,Corporate
B0193,2025-11-17,2025-11-27,2025-11-28,1,DE035,Deluxe,500000,Check-in,OTA (Booking.com)
B0194,2025-02-17,2025-05-12,2025-05-16,4,DE069,Deluxe,500000,Check-in,OTA (Agoda)
B0195,2025-07-23,2025-09-10,2025-09-11,1,ST028,Standard,300000,Check-in,OTA (Agoda)
B0196,2025-02-08,2025-04-19,2025-04-23,4,ST070,Standard,300000,Check-in,OTA (Booking.com)
B0197,2025-06-19,2025-07-26,2025-07-30,4,ST029,Standard,300000,Check-in,Corporate
B0198,2025-03-01,2025-05-22,2025-05-26,4,DE024,Deluxe,500000,Check-in,Direct Booking
B0199,2025-04-20,2025-04-24,2025-04-25,1,DE058,Deluxe,500000,Check-in,Direct Booking
B0200,2025-09-20,2025-11-07,2025-11-11,4,SU009,Suite,1000000,Check-in,OTA (Booking.com)
B0201,2025-04-05,2025-07-02,2025-07-03,1,SU002,Suite,1000000,Check-in,OTA (Booking.com)
B0202,2025-06-14,2025-08-02,2025-08-06,4,DE002,Deluxe,500000,Cancel,Direct Booking
B0203,2025-06-10,2025-08-09,2025-08-11,2,DE107,Deluxe,500000,Check-in,Direct Booking
B0204,2025-06-27,2025-08-26,2025-08-28,2,ST087,Standard,300000,Check-in,Direct Booking
B0205,2025-07-18,2025-09-01,2025-09-03,2,ST058,Standard,300000,Cancel,OTA (Booking.com)
B0206,2025-07-05,2025-09-02,2025-09-06,4,SU007,Suite,1000000,Cancel,OTA (Agoda)
B0207,2025-07-17,2025-07-31,2025-08-01,1,DE091,Deluxe,500000,Check-in,OTA (Booking.com)
B0208,2025-06-01,2025-08-30,2025-09-02,3,SU001,Suite,1000000,Cancel,OTA (Booking.com)
B0209,2025-02-28,2025-04-05,2025-04-07,2,ST035,Standard,300000,Check-in,OTA (Agoda)
B0210,2025-12-04,2025-12-11,2025-12-12,1,DE059,Deluxe,500000,Check-in,Direct Booking
B0211,2025-06-06,2025-07-22,2025-07-26,4,ST021,Standard,300000,Check-in,Direct Booking
B0212,2025-03-17,2025-06-10,2025-06-13,3,ST019,Standard,300000,Check-in,OTA (Booking.com)
B0213,2025-08-31,2025-09-06,2025-09-10,4,DE043,Deluxe,500000,Check-in,OTA (Booking.com)
B0214,2025-04-30,2025-05-17,2025-05-19,2,DE065,Deluxe,500000,Check-in,OTA (Booking.com)
B0215,2025-05-12,2025-06-07,2025-06-10,3,ST015,Standard,300000,Check-in,OTA (Booking.com)
B0216,2025-06-14,2025-08-18,2025-08-19,1,SU013,Suite,1000000,Check-in,OTA (Agoda)
B0217,2025-06-29,2025-08-30,2025-09-02,3,ST048,Standard,300000,Check-in,OTA (Agoda)
B0218,2025-03-10,2025-05-09,2025-05-14,5,SU030,Suite,1000000,Check-in,Direct Booking
B0219,2025-07-26,2025-10-21,2025-10-24,3,ST034,Standard,300000,Check-in,OTA (Agoda)
B0220,2025-08-12,2025-08-14,2025-08-15,1,ST030,Standard,300000,Check-in,OTA (Booking.com)
B0221,2025-05-18,2025-08-13,2025-08-17,4,ST062,Standard,300000,Check-in,OTA (Booking.com)
B0222,2025-04-08,2025-05-26,2025-05-30,4,ST040,Standard,300000,Check-in,Direct Booking
B0223,2025-07-05,2025-09-15,2025-09-19,4,ST063,Standard,300000,Check-in,Direct Booking
B0224,2025-07-04,2025-09-02,2025-09-07,5,ST074,Standard,300000,Check-in,Direct Booking
B0225,2025-08-29,2025-09-03,2025-09-08,5,DE006,Deluxe,500000,Check-in,Direct Booking
B0226,2025-04-01,2025-06-09,2025-06-11,2,DE036,Deluxe,500000,Check-in,OTA (Booking.com)
B0227,2025-08-03,2025-11-01,2025-11-06,5,ST010,Standard,300000,Check-in,Direct Booking
B0228,2025-03-28,2025-05-21,2025-05-22,1,DE040,Deluxe,500000,Check-in,Corporate
B0229,2025-03-12,2025-04-17,2025-04-22,5,ST007,Standard,300000,Check-in,OTA (Booking.com)
B0230,2025-09-02,2025-10-03,2025-10-04,1,SU020,Suite,1000000,Cancel,OTA (Booking.com)
B0231,2025-07-10,2025-10-01,2025-10-03,2,SU013,Suite,1000000,Check-in,Direct Booking
B0232,2025-11-03,2025-11-19,2025-11-22,3,SU008,Suite,1000000,Check-in,OTA (Booking.com)
B0233,2025-01-24,2025-04-11,2025-04-15,4,SU001,Suite,1000000,Check-in,Direct Booking
B0234,2025-06-28,2025-07-15,2025-07-19,4,SU013,Suite,1000000,Check-in,OTA (Booking.com)
B0235,2025-05-05,2025-07-20,2025-07-22,2,SU016,Suite,1000000,Check-in,Direct Booking
B0236,2025-01-15,2025-04-02,2025-04-04,2,DE022,Deluxe,500000,Check-in,Direct Booking
B0237,2025-07-21,2025-08-07,2025-08-09,2,SU019,Suite,1000000,Check-in,OTA (Agoda)
B0238,2025-03-22,2025-04-08,2025-04-10,2,DE033,Deluxe,500000,Check-in,Direct Booking
B0239,2025-02-26,2025-04-09,2025-04-13,4,SU001,Suite,1000000,Check-in,Direct Booking
B0240,2025-11-02,2025-12-26,2025-12-28,2,SU001,Suite,1000000,Check-in,OTA (Booking.com)
B0241,2025-11-02,2025-12-19,2025-12-22,3,ST082,Standard,300000,Check-in,OTA (Booking.com)
B0242,2025-02-03,2025-04-23,2025-04-27,4,ST075,Standard,300000,Check-in,OTA (Agoda)
B0243,2025-06-27,2025-09-02,2025-09-04,2,DE092,Deluxe,500000,Check-in,Direct Booking
B0244,2025-08-22,2025-10-23,2025-10-27,4,DE090,Deluxe,500000,Check-in,OTA (Booking.com)
B0245,2025-03-12,2025-05-08,2025-05-11,3,SU005,Suite,1000000,Check-in,Direct Booking
B0246,2025-08-02,2025-08-19,2025-08-22,3,ST018,Standard,300000,Check-in,OTA (Booking.com)
B0247,2025-09-01,2025-10-13,2025-10-17,4,ST010,Standard,300000,Check-in,OTA (Booking.com)
B0248,2025-08-21,2025-11-07,2025-11-09,2,SU029,Suite,1000000,Check-in,Direct Booking
B0249,2025-04-27,2025-07-20,2025-07-23,3,DE102,Deluxe,500000,Check-in,Direct Booking
B0250,2025-10-06,2025-11-19,2025-11-20,1,DE080,Deluxe,500000,Check-in,Direct Booking
B0251,2025-07-15,2025-09-08,2025-09-09,1,ST056,Standard,300000,Check-in,Corporate
B0252,2025-09-02,2025-11-29,2025-12-03,4,SU021,Suite,1000000,Check-in,Direct Booking
B0253,2025-03-25,2025-05-20,2025-05-24,4,ST016,Standard,300000,Check-in,OTA (Agoda)
B0254,2025-02-18,2025-05-01,2025-05-05,4,ST087,Standard,300000,Cancel,OTA (Booking.com)
B0255,2025-03-08,2025-06-02,2025-06-04,2,DE039,Deluxe,500000,Check-in,OTA (Booking.com)
B0256,2025-03-03,2025-04-27,2025-04-28,1,DE089,Deluxe,500000,Check-in,OTA (Booking.com)
B0257,2025-10-03,2025-12-16,2025-12-17,1,SU008,Suite,1000000,Check-in,OTA (Booking.com)
B0258,2025-09-13,2025-09-27,2025-09-30,3,ST065,Standard,300000,Check-in,OTA (Agoda)
B0259,2025-05-12,2025-07-25,2025-07-30,5,DE033,Deluxe,500000,Check-in,Corporate
B0260,2025-01-24,2025-04-14,2025-04-17,3,ST062,Standard,300000,Cancel,OTA (Agoda)
