Product_ID,Booking_ID,Product_Name,Quantity,Price_per_Unit,Total_Price
PROD-0138,B0898,Tour Package,1,500000,500000
PROD-0139,B0285,Mini Bar Refill,1,120000,120000
PROD-0140,B0406,Massage Service,1,350000,350000
PROD-0141,B0275,Tour Package,1,500000,500000
PROD-0142,B0319,Late Checkout,1,100000,100000
PROD-0143,B0673,Spa Package,1,300000,300000
PROD-0144,B0573,Airport Transfer,2,200000,400000
PROD-0145,B0969,Tour Package,1,500000,500000
PROD-0146,B0669,Tour Package,1,500000,500000
PROD-0147,B0331,Late Checkout,1,100000,100000
PROD-0148,B0375,Mini Bar Refill,1,120000,120000
PROD-0149,B0628,Mini Bar Refill,1,120000,120000
PROD-0150,B0088,Massage Service,1,350000,350000
PROD-0151,B0020,Tour Package,1,500000,500000
PROD-0152,B0059,Mini Bar Refill,1,120000,120000
PROD-0153,B0648,Airport Transfer,1,200000,200000
PROD-0154,B0124,Breakfast Buffet,2,150000,300000
PROD-0155,B0350,Laundry Service,1,75000,75000
PROD-0156,B0632,Laundry Service,1,75000,75000
PROD-0157,B0415,Airport Transfer,2,200000,400000
PROD-0158,B0716,Spa Package,1,300000,300000
PROD-0159,B0490,Laundry Service,2,75000,150000
PROD-0160,B0414,Tour Package,1,500000,500000
PROD-0161,B0554,Spa Package,1,300000,300000
PROD-0162,B0609,Breakfast Buffet,2,150000,300000
PROD-0163,B0295,Airport Transfer,1,200000,200000
PROD-0164,B0526,Spa Package,1,300000,300000
PROD-0165,B0617,Tour Package,1,500000,500000
PROD-0166,B0395,Room Service,1,180000,180000
PROD-0167,B0239,Massage Service,1,350000,350000
PROD-0168,B0285,Mini Bar Refill,1,120000,120000
PROD-0169,B0050,Laundry Service,1,75000,75000
PROD-0170,B0517,Laundry Service,2,75000,150000
PROD-0171,B0359,Dinner Buffet,1,250000,250000
PROD-0172,B0368,Airport Transfer,1,200000,200000
PROD-0173,B0329,Late Checkout,1,100000,100000
PROD-0174,B0679,Tour Package,1,500000,500000
PROD-0175,B0026,Breakfast Buffet,1,150000,150000
PROD-0176,B0039,Airport Transfer,1,200000,200000
PROD-0177,B0428,Late Checkout,1,100000,100000
PROD-0178,B0979,Tour Package,1,500000,500000
PROD-0179,B0794,Massage Service,1,350000,350000
PROD-0180,B0021,Dinner Buffet,2,250000,500000
PROD-0181,B0928,Room Service,2,180000,360000
PROD-0182,B0823,Tour Package,1,500000,500000
PROD-0183,B0087,Tour Package,1,500000,500000
PROD-0184,B0894,Spa Package,1,300000,300000
PROD-0185,B0266,Spa Package,1,300000,300000
PROD-0186,B0278,Late Checkout,1,100000,100000
PROD-0187,B0277,Laundry Service,3,75000,225000
PROD-0188,B0467,Breakfast Buffet,2,150000,300000
PROD-0189,B0779,Dinner Buffet,1,250000,250000
PROD-0190,B0888,Dinner Buffet,2,250000,500000
PROD-0191,B0601,Airport Transfer,2,200000,400000
PROD-0192,B0898,Airport Transfer,1,200000,200000
PROD-0193,B0536,Tour Package,1,500000,500000
PROD-0194,B0839,Spa Package,1,300000,300000
PROD-0195,B0167,Late Checkout,1,100000,100000
PROD-0196,B0747,Late Checkout,1,100000,100000
PROD-0197,B0480,Tour Package,1,500000,500000
PROD-0198,B0261,Airport Transfer,2,200000,400000
PROD-0199,B0185,Massage Service,1,350000,350000
PROD-0200,B0174,Tour Package,1,500000,500000
PROD-0201,B0745,Mini Bar Refill,1,120000,120000
PROD-0202,B0622,Spa Package,1,300000,300000
PROD-0203,B0628,Mini Bar Refill,1,120000,120000
PROD-0204,B0703,Spa Package,1,300000,300000
PROD-0205,B0108,Breakfast Buffet,2,150000,300000
PROD-0206,B0685,Late Checkout,1,100000,100000
PROD-0207,B0515,Breakfast Buffet,1,150000,150000
PROD-0208,B0897,Spa Package,1,300000,300000
PROD-0209,B0056,Spa Package,1,300000,300000
PROD-0210,B0740,Room Service,3,180000,540000
PROD-0211,B0177,Tour Package,1,500000,500000
PROD-0212,B0951,Spa Package,1,300000,300000
PROD-0213,B0667,Dinner Buffet,1,250000,250000
PROD-0214,B0614,Breakfast Buffet,1,150000,150000
PROD-0215,B0231,Dinner Buffet,1,250000,250000
PROD-0216,B0689,Airport Transfer,1,200000,200000
PROD-0217,B0392,Mini Bar Refill,1,120000,120000
PROD-0218,B0810,Airport Transfer,1,200000,200000
PROD-0219,B0569,Room Service,1,180000,180000
PROD-0220,B0522,Breakfast Buffet,1,150000,150000
PROD-0221,B0888,Mini Bar Refill,1,120000,120000
PROD-0222,B0327,Massage Service,1,350000,350000
PROD-0223,B0918,Spa Package,1,300000,300000
PROD-0224,B0645,Mini Bar Refill,1,120000,120000
PROD-0225,B0159,Massage Service,1,350000,350000
PROD-0226,B0972,Airport Transfer,2,200000,400000
PROD-0227,B0361,Dinner Buffet,2,250000,500000
PROD-0228,B0019,Dinner Buffet,2,250000,500000
PROD-0229,B0451,Massage Service,1,350000,350000
PROD-0230,B0400,Breakfast Buffet,1,150000,150000
PROD-0231,B0640,Breakfast Buffet,1,150000,150000
PROD-0232,B0494,Room Service,1,180000,180000
PROD-0233,B0690,Mini Bar Refill,1,120000,120000
PROD-0234,B0634,Massage Service,1,350000,350000
PROD-0235,B0233,Breakfast Buffet,1,150000,150000
PROD-0236,B0714,Room Service,1,180000,180000
PROD-0237,B0421,Spa Package,1,300000,300000
PROD-0238,B0473,Mini Bar Refill,1,120000,120000
PROD-0239,B0863,Mini Bar Refill,1,120000,120000
PROD-0240,B0044,Breakfast Buffet,1,150000,150000
PROD-0241,B0175,Breakfast Buffet,2,150000,300000
PROD-0242,B0436,Airport Transfer,1,200000,200000
PROD-0243,B0755,Massage Service,1,350000,350000
PROD-0244,B0095,Massage Service,1,350000,350000
PROD-0245,B0189,Dinner Buffet,1,250000,250000
PROD-0246,B0774,Mini Bar Refill,1,120000,120000
PROD-0247,B0328,Dinner Buffet,1,250000,250000
PROD-0248,B0387,Mini Bar Refill,1,120000,120000
PROD-0249,B0510,Tour Package,1,500000,500000
PROD-0250,B0382,Late Checkout,1,100000,100000
PROD-0251,B0411,Tour Package,1,500000,500000
PROD-0252,B0592,Tour Package,1,500000,500000
PROD-0253,B0531,Airport Transfer,2,200000,400000
PROD-0254,B0188,Airport Transfer,1,200000,200000
PROD-0255,B0298,Mini Bar Refill,1,120000,120000
PROD-0256,B0854,Tour Package,1,500000,500000
PROD-0257,B0303,Dinner Buffet,2,250000,500000
PROD-0258,B0714,Dinner Buffet,2,250000,500000
PROD-0259,B0243,Dinner Buffet,2,250000,500000
PROD-0260,B0065,Breakfast Buffet,1,150000,150000
PROD-0261,B0262,Massage Service,1,350000,350000
PROD-0262,B0893,Airport Transfer,1,200000,200000
PROD-0263,B0097,Laundry Service,1,75000,75000
PROD-0264,B0668,Room Service,3,180000,540000
PROD-0265,B0492,Tour Package,1,500000,500000
PROD-0266,B0054,Breakfast Buffet,2,150000,300000
PROD-0267,B0982,Late Checkout,1,100000,100000
PROD-0268,B0533,Laundry Service,1,75000,75000
PROD-0269,B0646,Tour Package,1,500000,500000
PROD-0270,B0258,Dinner Buffet,2,250000,500000
PROD-0271,B0766,Airport Transfer,2,200000,400000
PROD-0272,B0364,Breakfast Buffet,1,150000,150000
PROD-0273,B0896,Tour Package,1,500000,500000
PROD-0274,B0380,Breakfast Buffet,2,150000,300000
PROD-0275,B0247,Room Service,2,180000,360000
PROD-0276,B0417,Laundry Service,3,75000,225000
PROD-0277,B0184,Tour Package,1,500000,500000
PROD-0278,B0202,Late Checkout,1,100000,100000
PROD-0279,B0011,Room Service,1,180000,180000
PROD-0280,B0708,Laundry Service,2,75000,150000
PROD-0281,B0909,Tour Package,1,500000,500000
PROD-0282,B0257,Laundry Service,3,75000,225000
PROD-0283,B0265,Massage Service,1,350000,350000
PROD-0284,B0293,Dinner Buffet,2,250000,500000
PROD-0285,B0397,Mini Bar Refill,1,120000,120000
PROD-0286,B0400,Breakfast Buffet,2,150000,300000
PROD-0287,B0318,Massage Service,1,350000,350000
PROD-0288,B0565,Mini Bar Refill,1,120000,120000
PROD-0289,B0116,Massage Service,1,350000,350000
PROD-0290,B0238,Spa Package,1,300000,300000
PROD-0291,B0576,Late Checkout,1,100000,100000
PROD-0292,B0634,Mini Bar Refill,1,120000,120000
PROD-0293,B0252,Airport Transfer,2,200000,400000
PROD-0294,B0840,Airport Transfer,2,200000,400000
PROD-0295,B0319,Airport Transfer,1,200000,200000
PROD-0296,B0510,Laundry Service,2,75000,150000
PROD-0297,B0197,Breakfast Buffet,2,150000,300000
PROD-0298,B0278,Late Checkout,1,100000,100000
PROD-0299,B0509,Breakfast Buffet,1,150000,150000
PROD-0300,B0175,Massage Service,1,350000,350000
PROD-0301,B0352,Late Checkout,1,100000,100000
PROD-0302,B0020,Massage Service,1,350000,350000
PROD-0303,B0079,Room Service,3,180000,540000
PROD-0304,B0928,Breakfast Buffet,1,150000,150000
PROD-0305,B0075,Breakfast Buffet,2,150000,300000
PROD-0306,B0739,Spa Package,1,300000,300000
PROD-0307,B0102,Massage Service,1,350000,350000
PROD-0308,B0876,Late Checkout,1,100000,100000
PROD-0309,B0934,Room Service,3,180000,540000
PROD-0310,B0328,Tour Package,1,500000,500000
PROD-0311,B0832,Late Checkout,1,100000,100000
PROD-0312,B0430,Mini Bar Refill,1,120000,120000
PROD-0313,B0201,Late Checkout,1,100000,100000
PROD-0314,B0749,Breakfast Buffet,2,150000,300000
PROD-0315,B0065,Laundry Service,3,75000,225000
PROD-0316,B0404,Mini Bar Refill,1,120000,120000
PROD-0317,B0373,Room Service,2,180000,360000
PROD-0318,B0523,Airport Transfer,1,200000,200000
PROD-0319,B0484,Breakfast Buffet,1,150000,150000
PROD-0320,B0815,Mini Bar Refill,1,120000,120000
PROD-0321,B0228,Airport Transfer,2,200000,400000
PROD-0322,B0888,Massage Service,1,350000,350000
PROD-0323,B0822,Mini Bar Refill,1,120000,120000
PROD-0324,B0882,Late Checkout,1,100000,100000
PROD-0325,B0306,Tour Package,1,500000,500000
PROD-0326,B0192,Massage Service,1,350000,350000
PROD-0327,B0445,Room Service,1,180000,180000
PROD-0328,B0335,Massage Service,1,350000,350000
PROD-0329,B0834,Airport Transfer,1,200000,200000
PROD-0330,B0073,Spa Package,1,300000,300000
PROD-0331,B0988,Room Service,2,180000,360000
PROD-0332,B0627,Airport Transfer,1,200000,200000
PROD-0333,B0954,Breakfast Buffet,1,150000,150000
PROD-0334,B0576,Dinner Buffet,2,250000,500000
PROD-0335,B0882,Tour Package,1,500000,500000
PROD-0336,B0189,Airport Transfer,2,200000,400000
PROD-0337,B0069,Spa Package,1,300000,300000
PROD-0338,B0467,Laundry Service,2,75000,150000
PROD-0339,B0712,Massage Service,1,350000,350000
PROD-0340,B0906,Late Checkout,1,100000,100000
PROD-0341,B0215,Airport Transfer,2,200000,400000
PROD-0342,B0677,Spa Package,1,300000,300000
PROD-0343,B0081,Breakfast Buffet,1,150000,150000
PROD-0344,B0713,Massage Service,1,350000,350000
PROD-0345,B0452,Room Service,1,180000,180000
PROD-0346,B0468,Airport Transfer,1,200000,200000
PROD-0347,B0780,Airport Transfer,1,200000,200000
PROD-0348,B0225,Mini Bar Refill,1,120000,120000
PROD-0349,B0824,Laundry Service,3,75000,225000
PROD-0350,B0582,Massage Service,1,350000,350000
PROD-0351,B0744,Spa Package,1,300000,300000
PROD-0352,B0145,Tour Package,1,500000,500000
PROD-0353,B0525,Spa Package,1,300000,300000
PROD-0354,B0296,Dinner Buffet,1,250000,250000
PROD-0355,B0507,Airport Transfer,2,200000,400000
PROD-0356,B0831,Room Service,1,180000,180000
PROD-0357,B0156,Tour Package,1,500000,500000
PROD-0358,B0285,Dinner Buffet,1,250000,250000
PROD-0359,B0167,Tour Package,1,500000,500000
PROD-0360,B0498,Breakfast Buffet,1,150000,150000
PROD-0361,B0400,Airport Transfer,2,200000,400000
PROD-0362,B0148,Tour Package,1,500000,500000
PROD-0363,B0643,Room Service,1,180000,180000
PROD-0364,B0277,Breakfast Buffet,1,150000,150000
PROD-0365,B0967,Breakfast Buffet,1,150000,150000
PROD-0366,B0586,Breakfast Buffet,1,150000,150000
PROD-0367,B0082,Massage Service,1,350000,350000
PROD-0368,B0974,Spa Package,1,300000,300000
PROD-0369,B0637,Late Checkout,1,100000,100000
PROD-0370,B0724,Mini Bar Refill,1,120000,120000
PROD-0371,B0418,Tour Package,1,500000,500000
PROD-0372,B0579,Spa Package,1,300000,300000
PROD-0373,B0381,Late Checkout,1,100000,100000
PROD-0374,B0356,Dinner Buffet,1,250000,250000
PROD-0375,B0706,Dinner Buffet,2,250000,500000
PROD-0376,B0388,Mini Bar Refill,1,120000,120000
PROD-0377,B0986,Spa Package,1,300000,300000
PROD-0378,B0448,Tour Package,1,500000,500000
PROD-0379,B0833,Room Service,2,180000,360000
PROD-0380,B0049,Dinner Buffet,2,250000,500000
PROD-0381,B0329,Laundry Service,1,75000,75000
PROD-0382,B0240,Laundry Service,1,75000,75000
PROD-0383,B0833,Late Checkout,1,100000,100000
PROD-0384,B0967,Late Checkout,1,100000,100000
PROD-0385,B0027,Room Service,2,180000,360000
PROD-0386,B0367,Late Checkout,1,100000,100000
PROD-0387,B0882,Tour Package,1,500000,500000
PROD-0388,B0988,Laundry Service,1,75000,75000
PROD-0389,B0854,Laundry Service,1,75000,75000
PROD-0390,B0986,Laundry Service,3,75000,225000
PROD-0391,B0013,Room Service,2,180000,360000
PROD-0392,B0161,Tour Package,1,500000,500000
PROD-0393,B0546,Tour Package,1,500000,500000
PROD-0394,B0718,Dinner Buffet,2,250000,500000
PROD-0395,B0704,Spa Package,1,300000,300000
PROD-0396,B0752,Room Service,3,180000,540000
PROD-0397,B0608,Breakfast Buffet,2,150000,300000
PROD-0398,B0083,Breakfast Buffet,1,150000,150000
PROD-0399,B0159,Mini Bar Refill,1,120000,120000
PROD-0400,B0213,Breakfast Buffet,2,150000,300000
PROD-0401,B0042,Laundry Service,2,75000,150000
PROD-0402,B0061,Room Service,2,180000,360000
PROD-0403,B0591,Spa Package,1,300000,300000
PROD-0404,B0073,Breakfast Buffet,2,150000,300000
PROD-0405,B0048,Dinner Buffet,1,250000,250000
PROD-0406,B0029,Breakfast Buffet,2,150000,300000
PROD-0407,B0563,Dinner Buffet,2,250000,500000
PROD-0408,B0684,Dinner Buffet,1,250000,250000
PROD-0409,B0390,Mini Bar Refill,1,120000,120000
PROD-0410,B0975,Laundry Service,3,75000,225000
PROD-0411,B0129,Laundry Service,2,75000,150000
PROD-0412,B0002,Tour Package,1,500000,500000
PROD-0413,B0392,Late Checkout,1,100000,100000
PROD-0414,B0758,Laundry Service,2,75000,150000
PROD-0415,B0922,Massage Service,1,350000,350000
PROD-0416,B0751,Laundry Service,2,75000,150000
PROD-0417,B0567,Massage Service,1,350000,350000
PROD-0418,B0948,Mini Bar Refill,1,120000,120000
PROD-0419,B0532,Breakfast Buffet,2,150000,300000
PROD-0420,B0898,Tour Package,1,500000,500000
PROD-0421,B0637,Tour Package,1,500000,500000
PROD-0422,B0414,Airport Transfer,2,200000,400000
PROD-0423,B0147,Airport Transfer,2,200000,400000
PROD-0424,B0603,Room Service,3,180000,540000
PROD-0425,B0945,Massage Service,1,350000,350000
PROD-0426,B0894,Airport Transfer,1,200000,200000
PROD-0427,B0873,Airport Transfer,1,200000,200000
PROD-0428,B0817,Late Checkout,1,100000,100000
PROD-0429,B0226,Massage Service,1,350000,350000
PROD-0430,B0698,Airport Transfer,2,200000,400000
PROD-0431,B0605,Mini Bar Refill,1,120000,120000
PROD-0432,B0797,Room Service,1,180000,180000
PROD-0433,B0892,Breakfast Buffet,2,150000,300000
PROD-0434,B0506,Breakfast Buffet,2,150000,300000
PROD-0435,B0411,Breakfast Buffet,2,150000,300000
PROD-0436,B0214,Dinner Buffet,2,250000,500000
PROD-0437,B0876,Dinner Buffet,1,250000,250000
PROD-0438,B0076,Room Service,3,180000,540000
PROD-0439,B0266,Room Service,1,180000,180000
PROD-0440,B0279,Airport Transfer,2,200000,400000
PROD-0441,B0371,Tour Package,1,500000,500000
PROD-0442,B0048,Spa Package,1,300000,300000
PROD-0443,B0127,Airport Transfer,1,200000,200000
PROD-0444,B0091,Spa Package,1,300000,300000
PROD-0445,B0205,Room Service,2,180000,360000
PROD-0446,B0997,Mini Bar Refill,1,120000,120000
PROD-0447,B0022,Mini Bar Refill,1,120000,120000
PROD-0448,B0294,Tour Package,1,500000,500000
PROD-0449,B0464,Airport Transfer,2,200000,400000
PROD-0450,B0118,Late Checkout,1,100000,100000
PROD-0451,B0442,Spa Package,1,300000,300000
PROD-0452,B0011,Tour Package,1,500000,500000
PROD-0453,B0779,Mini Bar Refill,1,120000,120000
PROD-0454,B0654,Room Service,3,180000,540000
PROD-0455,B0188,Mini Bar Refill,1,120000,120000
PROD-0456,B0783,Spa Package,1,300000,300000
PROD-0457,B0363,Breakfast Buffet,1,150000,150000
PROD-0458,B0646,Laundry Service,2,75000,150000
PROD-0459,B0231,Late Checkout,1,100000,100000
PROD-0460,B0596,Room Service,2,180000,360000
PROD-0461,B0568,Tour Package,1,500000,500000
PROD-0462,B0370,Room Service,3,180000,540000
PROD-0463,B0294,Mini Bar Refill,1,120000,120000
PROD-0464,B0513,Tour Package,1,500000,500000
PROD-0465,B0185,Late Checkout,1,100000,100000
PROD-0466,B0037,Room Service,3,180000,540000
PROD-0467,B0749,Mini Bar Refill,1,120000,120000
PROD-0468,B0125,Laundry Service,2,75000,150000
PROD-0469,B0657,Mini Bar Refill,1,120000,120000
PROD-0470,B0997,Spa Package,1,300000,300000
PROD-0471,B0297,Massage Service,1,350000,350000
PROD-0472,B0830,Tour Package,1,500000,500000
PROD-0473,B0065,Airport Transfer,2,200000,400000
PROD-0474,B0363,Late Checkout,1,100000,100000
PROD-0475,B0439,Laundry Service,2,75000,150000
PROD-0476,B0705,Late Checkout,1,100000,100000
PROD-0477,B0468,Room Service,2,180000,360000
PROD-0478,B0025,Breakfast Buffet,1,150000,150000
PROD-0479,B0105,Dinner Buffet,1,250000,250000
PROD-0480,B0059,Airport Transfer,1,200000,200000
PROD-0481,B0244,Laundry Service,2,75000,150000
PROD-0482,B0857,Tour Package,1,500000,500000
PROD-0483,B0011,Tour Package,1,500000,500000
PROD-0484,B0119,Massage Service,1,350000,350000
PROD-0485,B0612,Room Service,3,180000,540000
PROD-0486,B0929,Late Checkout,1,100000,100000
PROD-0487,B0090,Room Service,1,180000,180000
PROD-0488,B0236,Breakfast Buffet,2,150000,300000
PROD-0489,B0564,Mini Bar Refill,1,120000,120000
PROD-0490,B0138,Airport Transfer,1,200000,200000
PROD-0491,B0712,Late Checkout,1,100000,100000
PROD-0492,B0606,Mini Bar Refill,1,120000,120000
PROD-0493,B0001,Massage Service,1,350000,350000
PROD-0494,B0374,Breakfast Buffet,1,150000,150000
PROD-0495,B0851,Massage Service,1,350000,350000
PROD-0496,B0319,Room Service,1,180000,180000
PROD-0497,B0419,Mini Bar Refill,1,120000,120000
PROD-0498,B0593,Airport Transfer,2,200000,400000
PROD-0499,B0901,Breakfast Buffet,1,150000,150000
PROD-0500,B0640,Room Service,2,180000,360000
PROD-0501,B0869,Dinner Buffet,2,250000,500000
PROD-0502,B0039,Massage Service,1,350000,350000
PROD-0503,B0272,Airport Transfer,2,200000,400000
PROD-0504,B0674,Airport Transfer,1,200000,200000
PROD-0505,B0363,Airport Transfer,1,200000,200000
PROD-0506,B0061,Dinner Buffet,2,250000,500000
PROD-0507,B0241,Massage Service,1,350000,350000
PROD-0508,B0468,Late Checkout,1,100000,100000
PROD-0509,B0726,Airport Transfer,2,200000,400000
PROD-0510,B0286,Spa Package,1,300000,300000
PROD-0511,B0104,Room Service,1,180000,180000
PROD-0512,B0814,Massage Service,1,350000,350000
PROD-0513,B0110,Breakfast Buffet,1,150000,150000
PROD-0514,B0509,Dinner Buffet,1,250000,250000
PROD-0515,B0268,Laundry Service,1,75000,75000
PROD-0516,B0319,Tour Package,1,500000,500000
PROD-0517,B0985,Room Service,1,180000,180000
PROD-0518,B0235,Late Checkout,1,100000,100000
PROD-0519,B0870,Tour Package,1,500000,500000
PROD-0520,B0098,Dinner Buffet,2,250000,500000
PROD-0521,B0788,Room Service,1,180000,180000
PROD-0522,B0003,Mini Bar Refill,1,120000,120000
PROD-0523,B0611,Mini Bar Refill,1,120000,120000
PROD-0524,B0263,Breakfast Buffet,1,150000,150000
PROD-0525,B0785,Spa Package,1,300000,300000
PROD-0526,B0453,Dinner Buffet,2,250000,500000
PROD-0527,B0874,Dinner Buffet,1,250000,250000
